iter	Passed	Remaining
647	1225	476
648	1227	474
649	1228	472
650	1229	470
651	1231	468
652	1232	466
653	1235	464
654	1237	462
655	1238	460
656	1240	458
657	1241	456
658	1243	454
659	1244	452
660	1246	450
661	1247	448
662	1249	446
663	1251	444
664	1253	442
665	1254	440
666	1255	438
667	1257	436
668	1258	434
669	1260	432
670	1261	430
671	1262	428
672	1265	426
673	1267	425
674	1269	423
675	1271	421
676	1272	419
677	1274	417
678	1275	415
679	1276	413
680	1278	411
681	1280	409
682	1282	407
683	1284	405
684	1285	403
685	1287	401
686	1288	399
687	1290	397
688	1291	395
689	1292	393
690	1295	391
691	1298	390
692	1300	388
693	1301	386
694	1303	384
695	1305	382
696	1306	380
697	1307	378
698	1309	376
699	1311	374
700	1313	372
701	1314	370
702	1316	368
703	1317	366
704	1319	364
705	1320	362
706	1322	360
707	1323	358
708	1326	357
709	1327	355
710	1329	353
711	1331	351
712	1332	349
713	1333	347
714	1335	345
715	1336	343
716	1338	341
717	1339	339
718	1342	337
719	1343	335
720	1345	334
721	1347	332
722	1348	330
723	1350	328
724	1351	326
725	1353	324
726	1354	322
727	1356	320
728	1358	318
729	1360	316
730	1361	314
731	1362	312
732	1364	310
733	1365	308
734	1367	306
735	1368	304
736	1371	303
737	1373	301
738	1374	299
739	1376	297
740	1377	295
741	1378	293
742	1380	291
743	1381	289
744	1383	287
745	1385	286
746	1388	284
747	1389	282
748	1391	280
749	1392	278
750	1394	276
751	1395	274
752	1396	272
753	1398	270
754	1399	268
755	1404	267
756	1406	265
757	1408	263
758	1409	261
759	1411	259
760	1412	257
761	1413	256
762	1416	254
763	1419	252
764	1420	250
765	1421	248
766	1423	246
767	1424	244
768	1426	242
769	1427	241
770	1429	239
771	1431	237
772	1433	235
773	1435	233
774	1436	231
775	1438	229
776	1439	227
777	1441	225
778	1442	224
779	1443	222
780	1445	220
781	1447	218
782	1449	216
783	1451	214
784	1452	212
785	1454	210
786	1455	208
787	1456	207
788	1458	205
789	1459	203
790	1462	201
791	1464	199
792	1466	197
793	1468	195
794	1469	194
795	1471	192
796	1472	190
797	1474	188
798	1476	186
799	1478	184
800	1480	182
801	1481	181
802	1483	179
803	1484	177
804	1486	175
805	1488	173
806	1492	171
807	1496	170
808	1500	168
809	1503	167
810	1504	165
811	1508	163
812	1510	161
813	1512	159
814	1513	157
815	1515	155
816	1516	154
817	1518	152
818	1519	150
819	1521	148
820	1523	146
821	1525	144
822	1526	142
823	1528	140
824	1529	139
825	1531	137
826	1532	135
827	1534	133
828	1535	131
829	1538	129
830	1539	127
831	1541	125
832	1542	124
833	1544	122
834	1545	120
835	1547	118
836	1548	116
837	1549	114
838	1551	112
839	1553	110
840	1555	109
841	1556	107
842	1558	105
843	1559	103
844	1560	101
845	1562	99
846	1563	97
847	1565	95
848	1567	94
849	1569	92
850	1571	90
851	1572	88
852	1574	86
853	1575	84
854	1577	83
855	1578	81
856	1580	79
857	1581	77
858	1584	75
859	1586	73
860	1588	71
861	1589	70
862	1591	68
863	1592	66
864	1593	64
865	1595	62
866	1596	60
867	1599	58
868	1600	57
869	1602	55
870	1603	53
871	1605	51
872	1606	49
873	1608	47
874	1610	46
875	1612	44
876	1614	42
877	1615	40
878	1617	38
879	1618	36
880	1619	34
881	1621	33
882	1622	31
883	1624	29
884	1625	27
885	1628	25
886	1630	23
887	1632	22
888	1633	20
889	1635	18
890	1636	16
891	1638	14
892	1639	12
893	1640	11
894	1643	9
895	1645	7
896	1646	5
897	1648	3
898	1649	1
899	1651	0
